fact,value,units
</tr>
<tr>
<td style=""width:56%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:8%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:8%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:8%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:8%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
</table></div>",
FinitelivedIntangibleAssetsAcquired1,5681000000,USD
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,P7Y,
AmortizationOfIntangibleAssets,2000000000.0,USD
ScheduleofFiniteLivedIntangibleAssetsFutureAmortizationExpenseTableTextBlock,"
<p style=""margin-bottom:0pt;margin-top:9pt;text-align:justify;text-indent:0%;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">The following table outlines the estimated future amortization expense related to intangible assets held as of June 30, 2022:</p>
<p style=""margin-bottom:0pt;margin-top:0pt;text-align:justify;text-indent:0%;font-size:9pt;""> </p>
<div>
<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin:auto;border-collapse:collapse; width:100%;"">
<tr>
<td style=""width:82%;"" valign=""bottom"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:7.5pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">(In millions)</p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td colspan=""2"" style=""width:15%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td colspan=""4"" style=""width:15%; border-bottom:solid 0.75pt #000000;"" valign=""bottom"">
<p style=""text-align:left;margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 0.75pt transparent;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""middle"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td colspan=""3"" style=""width:15%;"" valign=""middle"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
<td style=""width:1%;"" valign=""middle"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;margin-left:12pt;;text-indent:-12pt;;font-weight:bold;font-size:7.5pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">Year Ending June 30,</p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-family:Arial;font-size:4pt;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:15%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:2pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td colspan=""4"" style=""width:1%;"" valign=""middle"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;;font-size:4pt;""> </p></td>
</tr>
<tr>
<td style=""background-color:#E5E5E5;width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:12pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">2023</p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">$</p></td>
<td style=""background-color:#E5E5E5;width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">2,654</p></td>
<td style=""background-color:#E5E5E5;width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:12pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">2024</p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">2,385</p></td>
<td style=""width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""background-color:#E5E5E5;width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:12pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">2025</p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">1,631</p></td>
<td style=""background-color:#E5E5E5;width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:12pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">2026</p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">1,227</p></td>
<td style=""width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""background-color:#E5E5E5;width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">2027</p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">809</p></td>
<td style=""background-color:#E5E5E5;width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:12pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">Thereafter</p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">2,592</p></td>
<td style=""width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td colspan=""4"" style=""width:15%; border-bottom:solid 0.75pt #000000;"" valign=""bottom"">
<p style=""text-align:left;margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:4pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
</tr>
<tr>
<td style=""width:82%; border-top:solid 0.75pt #000000;"" valign=""top"">
<p style=""margin-bottom:0pt;margin-top:0pt;line-height:4pt;text-align:justify;margin-left:0pt;;text-indent:0pt;;font-size:4pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-top:solid 0.75pt #000000;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Times New Roman;""> </p></td>
<td style=""width:1%; border-top:solid 0.75pt #000000;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;;font-size:4pt;""> </p></td>
<td style=""width:15%; border-top:solid 0.75pt #000000;"" valign=""bottom"">
<p style=""text-align:right;line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;;font-size:4pt;""> </p></td>
<td style=""width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
</tr>
<tr>
<td style=""background-color:#E5E5E5;width:82%;"" valign=""top"">
<p style=""text-align:left;margin-bottom:0pt;margin-top:0pt;line-height:11pt;margin-left:24pt;;text-indent:-12pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;"">Total</p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""background-color:#E5E5E5;width:1%;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">$</p></td>
<td style=""background-color:#E5E5E5;width:15%;"" valign=""bottom"">
<p style=""text-align:right;line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-weight:bold;font-size:10pt;font-family:Arial;font-style:normal;text-transform:none;font-variant: normal;"">11,298</p></td>
<td style=""background-color:#E5E5E5;width:1%;white-space:nowrap;"" valign=""bottom"">
<p style=""line-height:11pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
</tr>
<tr>
<td style=""width:82%; border-bottom:solid 1.5pt transparent;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 1.5pt transparent;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-family:Arial;font-size:4pt;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:15%; border-bottom:solid 1.5pt #000000;"" valign=""bottom"">
<p style=""margin-top:0pt;line-height:4pt;border-top:none 0pt;padding-top:0pt;text-align:right;margin-bottom:0pt;margin-left:0pt;;text-indent:0pt;;font-size:7.5pt;font-family:Arial;font-weight:normal;font-style:normal;text-transform:none;font-variant: normal;""> </p></td>
<td style=""width:1%; border-bottom:solid 1.5pt transparent;"" valign=""bottom"">
<p style=""line-height:4pt;margin-bottom:0pt;margin-top:0pt;margin-left:0pt;;text-indent:0pt;;font-size:4pt;""> </p></td>
</tr>
</table></div>",
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,2654000000,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,2385000000,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,1631000000,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,1227000000,USD
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,809000000,USD
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,2592000000,USD
